slack_factor,all_pass_sev0,graded_frac_sev0,at_least_1_actor_sev0,all_pass_sev1,graded_frac_sev1,at_least_1_actor_sev1
0.5,0.9666666666666667,0.9976190476190477,1.0,0.0,0.7333333333333335,0.3
0.75,0.9666666666666667,0.9976190476190477,1.0,0.0,0.7869047619047618,0.4666666666666667
1.0,1.0,1.0,1.0,0.0,0.8059523809523808,0.5166666666666667
1.25,1.0,1.0,1.0,0.03333333333333333,0.8404761904761903,0.65
1.5,1.0,1.0,1.0,0.08333333333333333,0.8654761904761903,0.7833333333333333
2.0,1.0,1.0,1.0,0.43333333333333335,0.9511904761904763,1.0
3.0,1.0,1.0,1.0,0.9166666666666666,0.9940476190476191,1.0
