severity,n_episodes,strict_AND_3actor,at_least_2of3_actors,at_least_1of3_actors,driver_gate_only,fleet_gate_only,grid_gate_only,mean_frac_of_14_passed
0,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,60,0.0,0.08333333333333333,0.5166666666666667,0.03333333333333333,0.18333333333333332,0.38333333333333336,0.8059523809523808
2,60,0.0,0.0,0.0,0.0,0.0,0.0,0.6011904761904762
3,60,0.0,0.0,0.0,0.0,0.0,0.0,0.5583333333333333
