driver_behavior,fleet_policy,grid_policy,policy,capacity_pct,rows,driver_pass_rows,fleet_pass_rows,grid_pass_rows,mutually_acceptable_rows,mean_delivered_ratio,mean_peak_ratio,mean_energy_cost_ratio,mean_p95_wait_delta_min,mean_demand_charge_delta_usd_month_25,mean_ramp_p95_ratio,dominant_failure_pattern
FullyCompliant,FleetServiceFirst,NoGridIncentive,LeastLaxity,35,10,10,10,10,10,1.0,1.0,1.0,0.0,0.0,1.0,all_pass
FullyCompliant,FleetServiceFirst,NoGridIncentive,LeastLaxity,50,10,10,10,10,10,1.0,1.0,1.0,0.0,0.0,1.0,all_pass
LimitedAttentionP0025,FleetServiceFirst,NoGridIncentive,D_LimitedAttentionP0025__F_ServiceFirst__G_NoGrid,20,10,10,10,9,9,0.99277924521092,0.9938053097345133,0.9938975321238385,0.0,-17.5,1.017825136612022,all_pass
LimitedAttentionP0025,FleetServiceFirst,NoGridIncentive,D_LimitedAttentionP0025__F_ServiceFirst__G_NoGrid,35,10,9,10,10,9,0.9912459207477411,0.9966981132075471,0.9910889361797247,0.0,-17.5,1.0077513980177937,all_pass
LimitedAttentionP0025,FleetServiceFirst,NoGridIncentive,D_LimitedAttentionP0025__F_ServiceFirst__G_NoGrid,50,10,10,10,7,7,0.9912440530361554,0.993799361122543,0.9928186775261368,0.0,-35.0,1.0592687923684565,all_pass
LimitedAttentionP005,FleetServiceFirst,NoGridIncentive,D_LimitedAttentionP005__F_ServiceFirst__G_NoGrid,20,10,9,10,8,7,0.9831406095096895,0.9942143930539322,0.9867953554651943,0.0,-17.5,1.026421627840092,all_pass
LimitedAttentionP005,FleetServiceFirst,NoGridIncentive,D_LimitedAttentionP005__F_ServiceFirst__G_NoGrid,35,10,8,10,7,6,0.9813798668762963,0.9855994499973558,0.9801584510603755,0.0,-70.0,1.0492667227927792,all_pass
LimitedAttentionP005,FleetServiceFirst,NoGridIncentive,D_LimitedAttentionP005__F_ServiceFirst__G_NoGrid,50,10,7,10,6,3,0.9774743536540564,0.99292044438769,0.9734604657165219,0.0,-35.0,1.1046629517495088,grid_only_fail
PriceSensitive,FleetQueueAware,GridPeakPenalty,D_PriceSensitive__F_QueueAware__G_PeakPenalty,20,10,0,0,0,0,0.8832646921393084,1.019811320754717,0.8468641250171082,3374.999999999999,52.5,0.5541320678746042,driver_fleet_grid_fail
PriceSensitive,FleetQueueAware,GridPeakPenalty,D_PriceSensitive__F_QueueAware__G_PeakPenalty,35,10,0,0,0,0,0.86399129371905,1.0462187318208263,0.8256386275390353,2470.5,227.5,0.6594113309343981,driver_fleet_grid_fail
