slack_factor,all_pass_sev0,graded_frac_sev0,at_least_1_actor_sev0,all_pass_sev1,graded_frac_sev1,at_least_1_actor_sev1
0.5,0.9125,0.99375,1.0,0.0,0.725297619047619,0.24583333333333332
0.75,0.9291666666666667,0.9949404761904762,1.0,0.0,0.7657738095238095,0.3541666666666667
1.0,0.9666666666666667,0.9976190476190475,1.0,0.0125,0.793452380952381,0.43333333333333335
1.25,0.9916666666666667,0.9994047619047619,1.0,0.04583333333333333,0.8273809523809524,0.5666666666666667
1.5,0.9958333333333333,0.9997023809523811,1.0,0.07083333333333333,0.8601190476190478,0.7
2.0,0.9958333333333333,0.9997023809523811,1.0,0.4583333333333333,0.9470238095238096,1.0
3.0,1.0,1.0,1.0,0.8833333333333333,0.9916666666666667,1.0
