severity,n_episodes,all_pass_mean,all_pass_ci95_lo,all_pass_ci95_hi,driver_gate_mean,driver_gate_ci95_lo,driver_gate_ci95_hi
0,240,0.9666666666666667,0.9416666666666667,0.9875,1.0,1.0,1.0
1,240,0.0125,0.0,0.029166666666666667,0.05,0.025,0.07916666666666666
2,240,0.0,0.0,0.0,0.0,0.0,0.0
3,240,0.0,0.0,0.0,0.0,0.0,0.0
