cluster,sessionID
1,1_1_178_817_2018-11-02 13:28:43.875289
1,1_1_179_787_2018-11-02 13:29:01.167772
1,1_1_194_826_2018-11-02 13:51:10.416084
1,1_1_193_829_2018-11-02 13:54:02.026872
1,1_1_179_783_2018-11-02 14:00:13.234977
1,1_1_179_799_2018-11-02 14:04:15.015269
2,1_1_179_797_2018-11-02 14:06:50.215719
1,1_1_179_800_2018-11-02 14:10:26.207026
0,1_1_179_810_2018-11-02 14:10:38.052457
1,1_1_179_815_2018-11-02 14:11:39.396400
0,1_1_191_803_2018-11-02 14:12:10.564064
0,1_1_191_811_2018-11-02 14:24:02.683771
1,1_1_191_785_2018-11-02 14:24:15.554892
1,1_1_179_779_2018-11-02 14:25:42.963415
1,1_1_179_781_2018-11-02 14:28:34.266011
0,1_1_191_795_2018-11-02 14:29:55.107109
1,1_1_179_796_2018-11-02 14:31:14.385565
0,1_1_191_782_2018-11-02 14:33:51.263559
0,1_1_179_809_2018-11-02 14:46:44.617741
1,1_1_191_792_2018-11-02 14:48:18.517304
0,1_1_179_777_2018-11-02 14:50:48.268896
1,1_1_179_813_2018-11-02 14:58:37.684910
1,1_1_191_780_2018-11-02 15:05:06.796433
0,1_1_191_805_2018-11-02 15:13:22.898045
1,1_1_179_790_2018-11-02 15:15:02.572416
1,1_1_191_778_2018-11-02 15:19:05.489104
0,1_1_191_786_2018-11-02 15:19:18.753067
0,1_1_191_812_2018-11-02 15:21:47.909298
0,1_1_191_806_2018-11-02 15:21:50.757981
1,1_1_191_793_2018-11-02 15:22:52.237154
2,1_1_191_784_2018-11-02 15:26:12.792696
0,1_1_178_824_2018-11-02 18:15:43.672017
2,1_1_191_804_2018-11-02 18:39:59.460954
2,1_1_179_781_2018-11-02 18:43:43.779729
0,1_1_179_788_2018-11-02 18:44:02.749293
2,1_1_191_784_2018-11-02 19:06:49.468733
2,1_1_179_801_2018-11-02 19:46:51.930296
2,1_1_179_797_2018-11-02 19:51:15.455300
2,1_1_179_777_2018-11-02 20:29:54.102605
2,1_1_194_821_2018-11-02 21:03:12.165885
2,1_1_193_819_2018-11-02 21:35:21.265209
2,1_1_179_796_2018-11-02 21:54:14.616716
2,1_1_194_826_2018-11-02 22:01:51.475627
2,1_1_179_800_2018-11-02 22:35:42.133165
2,1_1_178_823_2018-11-02 23:47:14.626183
2,1_1_178_828_2018-11-03 00:42:56.117308
2,1_1_178_823_2018-11-03 12:48:33.183431
2,1_1_179_783_2018-11-04 19:23:13.348661
2,1_1_191_785_2018-11-05 13:17:35.275900
0,1_1_179_797_2018-11-05 13:27:01.374378
0,1_1_178_824_2018-11-05 13:30:10.666884
1,1_1_191_789_2018-11-05 13:41:36.474133
1,1_1_178_823_2018-11-05 13:47:15.194638
0,1_1_191_802_2018-11-05 14:03:20.205695
1,1_1_193_825_2018-11-05 14:07:25.291710
1,1_1_193_829_2018-11-05 14:07:35.544481
1,1_1_178_828_2018-11-05 14:08:44.644712
0,1_1_194_826_2018-11-05 14:13:18.177404
1,1_1_193_819_2018-11-05 14:13:58.258065
0,1_1_193_827_2018-11-05 14:14:00.206888
0,1_1_193_816_2018-11-05 14:27:00.947448
1,1_1_179_787_2018-11-05 14:28:34.298985
0,1_1_178_817_2018-11-05 14:29:07.838704
0,1_1_179_810_2018-11-05 14:34:58.085597
0,1_1_179_799_2018-11-05 14:44:35.630308
1,1_1_179_788_2018-11-05 14:45:32.206530
1,1_1_191_780_2018-11-05 14:55:50.387835
1,1_1_179_800_2018-11-05 14:56:32.454690
1,1_1_179_791_2018-11-05 14:56:45.807808
1,1_1_194_818_2018-11-05 14:57:15.735724
1,1_1_194_821_2018-11-05 14:58:17.154661
0,1_1_179_777_2018-11-05 14:59:06.757581
1,1_1_179_796_2018-11-05 15:01:34.457083
0,1_1_179_809_2018-11-05 15:09:27.119051
0,1_1_179_815_2018-11-05 15:09:49.328871
1,1_1_191_785_2018-11-05 15:09:53.866688
0,1_1_179_783_2018-11-05 15:12:19.917756
0,1_1_179_801_2018-11-05 15:15:19.282591
0,1_1_179_794_2018-11-05 15:18:47.527401
1,1_1_179_813_2018-11-05 15:19:50.152118
1,1_1_191_807_2018-11-05 15:28:03.394492
1,1_1_191_782_2018-11-05 15:29:59.918224
0,1_1_179_790_2018-11-05 15:32:19.084127
0,1_1_191_806_2018-11-05 15:40:39.792103
0,1_1_191_786_2018-11-05 15:40:57.917602
0,1_1_191_804_2018-11-05 15:41:00.975586
0,1_1_191_793_2018-11-05 15:41:27.196392
1,1_1_191_778_2018-11-05 15:42:43.963612
1,1_1_191_812_2018-11-05 15:43:35.913828
1,1_1_191_805_2018-11-05 15:46:43.532987
0,1_1_191_811_2018-11-05 15:48:40.100905
1,1_1_191_792_2018-11-05 15:51:18.044124
0,1_1_191_784_2018-11-05 15:55:05.996874
2,1_1_191_808_2018-11-05 16:00:00.834971
0,1_1_191_795_2018-11-05 16:38:05.889336
2,1_1_193_829_2018-11-05 19:50:17.918361
0,1_1_194_826_2018-11-05 19:51:08.418711
2,1_1_179_800_2018-11-05 20:04:46.069243
2,1_1_191_808_2018-11-05 21:19:25.150483
2,1_1_191_804_2018-11-05 22:09:06.647526
2,1_1_194_822_2018-11-05 22:16:07.149695
2,1_1_191_806_2018-11-05 22:41:08.100090
2,1_1_178_828_2018-11-05 22:54:33.826631
2,1_1_193_827_2018-11-05 23:09:40.336259
2,1_1_191_802_2018-11-05 23:18:07.355569
2,1_1_193_820_2018-11-05 23:49:00.875946
2,1_1_178_828_2018-11-06 00:32:02.048494
